regression_function,units,mses,maes
m1,21,"[0.0007634486812407746, 0.0007507960124584041, 0.0007512468339198174, 0.0007238622684962399, 0.000793304238712464, 0.0007381040408962089, 0.0008144856519400469, 0.0007497536875322945, 0.0007475640157125646, 0.0007622388063725131, 0.0008280926143942362, 0.0007410003543801541, 0.0007490857856486613, 0.000754456055829378, 0.0008621016354895369, 0.0007543418185559648, 0.0007507595999903293, 0.000843095875999595, 0.000733684217072211, 0.0007782361212426237, 0.0007918636671117031, 0.000730189030351572, 0.0007503010290977868, 0.0007501288121758407, 0.0007483109342210235, 0.0007477818130809949, 0.0007898217813085183, 0.000772683553641344, 0.0007947526265562688, 0.0007986080031013122, 0.0008008247450432155, 0.0007499537388395753, 0.000875722703348547, 0.0007826705225663726, 0.000759858009237532, 0.0007772164768439051, 0.00079746287307538, 0.0008050370027710138, 0.0007446106478297419, 0.0007579181187002026, 0.0008057528090009473, 0.000753972466210471, 0.0007666975344220022, 0.0007709115394389282, 0.0007728036118575892, 0.0007522229528608965, 0.0007756509158714977, 0.0007517567025021474, 0.0007470319193333817, 0.0007600678441486921]","[0.02188583803687625, 0.02175569341741019, 0.02175877779189692, 0.02145170665064817, 0.02222632408780721, 0.021666033037524922, 0.02228147342057529, 0.021795184416884095, 0.021794637491062203, 0.021916472551608026, 0.0223130421975894, 0.02165347658531879, 0.021741247112595848, 0.02176095589298312, 0.02263683119759685, 0.021878470018120162, 0.02182169424353674, 0.022421404272925292, 0.021550527050891045, 0.02205724503878902, 0.022125308134855158, 0.021534155291301715, 0.021724371866533376, 0.021809043964946248, 0.021782239550675417, 0.021745354450236475, 0.022085409897433964, 0.022083306151786216, 0.022093365315178904, 0.022280815448775058, 0.022248548172973528, 0.02176429393850231, 0.022900547745488085, 0.022076962017223204, 0.021871467722761405, 0.022021560406042945, 0.022154726215920892, 0.022253528172673828, 0.02170714893470672, 0.02189667380670972, 0.02237329084466327, 0.021835158550069577, 0.021970732340795444, 0.021909018050897497, 0.021998680613915307, 0.021823933847953027, 0.021959944430067182, 0.021834844606609255, 0.021688411867241502, 0.021887448549077395]"
m2,28,"[0.00315195689262385, 0.003097154853195708, 0.0031290943886036946, 0.0032081642225873365, 0.0031253809648392555, 0.0030744078868693895, 0.003130705208875027, 0.0030704373725695625, 0.0030168013194601406, 0.0030768926952271353, 0.00308293394446981, 0.0030807015037118096, 0.003109354169189262, 0.003139069537279846, 0.0030671379671231938, 0.0031186775578421343, 0.0031326412303878137, 0.0031189322835686916, 0.0031928928227741953, 0.003152551092078859, 0.0031213218032125132, 0.0030490138997348515, 0.0030795446359292754, 0.003091215661676505, 0.0031452816546019813, 0.003132770174427784, 0.00324916188345941, 0.0031333698601834327, 0.0031464432855716376, 0.0031320788438656934, 0.0032527827783797483, 0.0030952145631966, 0.0032053454973890376, 0.0030644691235895754, 0.003143772012673617, 0.0031149664165419995, 0.003084413436537651, 0.0030789202133256624, 0.0030678468741588854, 0.003048851449078015, 0.0032166675892151813, 0.003294393336340268, 0.003092988428491358, 0.0031105413985933546, 0.0030936141851908936, 0.0031528209528744124, 0.003107472378888379, 0.003153317593913208, 0.0030329214288008894, 0.0031565867645275544]","[0.04455321722408879, 0.04436610875428731, 0.04460947253592693, 0.045033331900109025, 0.04448205781035841, 0.04416541050110746, 0.04451073680998584, 0.04418031769714653, 0.0437810136748134, 0.044205604021319934, 0.0441991592029612, 0.044254892869965694, 0.04447050492129554, 0.044533665003185806, 0.04414013002747395, 0.04437342796738808, 0.04454196579923973, 0.04453110725660579, 0.04484191762285968, 0.044586140834943916, 0.044503500144143567, 0.0439070802474864, 0.04416504624708763, 0.04432495881598482, 0.0445825104331316, 0.04453313949663497, 0.045144392987336954, 0.04447318042047102, 0.04459743896023313, 0.044536921788724114, 0.04517732209793431, 0.04432284598254834, 0.04483792507731249, 0.04406183337330295, 0.04459096112120511, 0.0444819976046888, 0.04422490205506329, 0.04417393949619271, 0.0442068639614924, 0.04402943910402156, 0.045090502081117645, 0.04520631372949991, 0.04422598083358758, 0.044371749710239425, 0.044357254331531704, 0.044687793942786797, 0.04438441700135361, 0.044629019743540284, 0.04379768972931009, 0.044594605784881836]"
m3,9,"[0.14814915533057127, 0.12204215143803512, 0.1322878514257166, 0.15596317711203284, 0.1392302453426834, 0.11830753702284648, 0.12104181287283235, 0.12331954475317575, 0.15691615415813168, 0.1461382471200468, 0.12823793492298127, 0.1450602565945668, 0.12705385422465387, 0.11783238219830387, 0.12067482642629708, 0.13750612809912352, 0.169522122689237, 0.1383029759649567, 0.13066211948955941, 0.13023744737627382, 0.16270681947291538, 0.1378273210891645, 0.13869389540476684, 0.1351382081729695, 0.12869016692425383, 0.12844813587996318, 0.16116756695268553, 0.14418978421484555, 0.17320840492811795, 0.13456091451210309, 0.13521513277441857, 0.1327027429939109, 0.14526423056288112, 0.1121859331783459, 0.12318201581389547, 0.14075575332759252, 0.1398951906645859, 0.13675647022419052, 0.1361885450531636, 0.13774926675598276, 0.14162346171662255, 0.13429999003286838, 0.14618529792773147, 0.13046912362516444, 0.1223582737777082, 0.13137148558365958, 0.1307139070502615, 0.12552714575724808, 0.13148196575119012, 0.1315433365203618]","[0.26451577587292835, 0.2577937488543661, 0.2634272507345657, 0.2687165326733687, 0.2669197743231622, 0.26000651505904904, 0.26228164631930434, 0.25975852263075566, 0.2689191296476575, 0.26711979855910234, 0.26257502893903173, 0.26452808031099834, 0.2644847966830143, 0.25944576000935526, 0.2586473834401459, 0.26425790775745556, 0.2688242459157781, 0.2663134290625446, 0.26283718308263715, 0.2627298443584985, 0.2704047396856785, 0.26689496675824276, 0.27009234976320434, 0.26434412826548714, 0.2629186673057814, 0.26177403321716863, 0.2741106276517386, 0.2659759482477466, 0.26846139472223934, 0.2657579305311825, 0.26532330763507417, 0.26249358656050825, 0.2661375634056874, 0.2571443150985361, 0.26049550065301647, 0.26620648048186163, 0.2658796666348108, 0.2658954956666672, 0.26325512248885474, 0.2674741126472672, 0.26679466343438263, 0.26840118854038075, 0.2662723370351838, 0.2632224939986482, 0.2600390028849884, 0.26389052871883956, 0.26440736468198367, 0.2604230799086025, 0.2649121873255151, 0.26502133483072127]"
m4,9,"[0.0007737062671981503, 0.000789593391464865, 0.0008575406927517298, 0.0008842302978160542, 0.0009122078479432915, 0.0008000462956753086, 0.0008593233471847003, 0.000806154521744256, 0.0008428153544560236, 0.0008338225078088483, 0.0008963769149061421, 0.0008212382647541231, 0.0007463504456693063, 0.0008913072144358874, 0.0008468835033945092, 0.0007594576658644612, 0.0008753939573979964, 0.0007946724430754854, 0.0008913873756243076, 0.0008271440959139138, 0.0008106118254122967, 0.0007866555301790199, 0.0008148205192634942, 0.0008543943432443182, 0.0008128227728521439, 0.0008898333515427691, 0.000806271485306332, 0.0007983616962676348, 0.0010409622859694294, 0.0008158324782042825, 0.0008423208421886933, 0.0008432114021928481, 0.0007944234254877194, 0.0007974869462770671, 0.0008404158202113952, 0.0008154291632994428, 0.0008388357521737102, 0.0008538667849750825, 0.0008092161453479697, 0.0008540773792948336, 0.0007855216109759477, 0.0007536612436214278, 0.000811777204305705, 0.0008944468664636726, 0.0008096279057348539, 0.0008760125466829661, 0.0008191890471272625, 0.0008038205270447207, 0.0008089370496512237, 0.0008219487937004064]","[0.02175171334874535, 0.021869115926681892, 0.022536677463003092, 0.022834983275568908, 0.023082029717320752, 0.022022131251861088, 0.02267063523881044, 0.022106399599477876, 0.022590945977818896, 0.02235260871954797, 0.022915500590360037, 0.02220511258414453, 0.021434177337865245, 0.02305831395348329, 0.022554927390727248, 0.021640000756859908, 0.022781295229001693, 0.022152846989882402, 0.02296064989199644, 0.022349498933743165, 0.022253575682259656, 0.021756769946519174, 0.022151022775220144, 0.022672746651558877, 0.022121847524472348, 0.022994182441320146, 0.022150454843326662, 0.02194586591702591, 0.023959424315823236, 0.022203599901216012, 0.02270604405628669, 0.022453737300534644, 0.021993337678014153, 0.02195211478816167, 0.02252702091690289, 0.022222583536451408, 0.02246728618619887, 0.02257442039751877, 0.022104309378871003, 0.022378152396465626, 0.021886263559800136, 0.02150444321413863, 0.022138414578378424, 0.022898313692347076, 0.022135458104927626, 0.02287375970695639, 0.022373448728761278, 0.02210024275599199, 0.022279648422994815, 0.022057000108317307]"
m5,4,"[0.016734305456646167, 0.017262719606201155, 0.017195619896239182, 0.017868152445923956, 0.015153463534682199, 0.016765033518389306, 0.01684691950305586, 0.01599513487780562, 0.01663110668768979, 0.016912932975329795, 0.015917367501231378, 0.01692842347427345, 0.018052166764989833, 0.01544737860572004, 0.017350862427973783, 0.01739700427768431, 0.016321130923657834, 0.01812300031095806, 0.01618716620901502, 0.016912640414908597, 0.016592391820582374, 0.016857331256373582, 0.01654051440871277, 0.017740815892042832, 0.016469526902756937, 0.01616047103054061, 0.0173828028583972, 0.016631369167907577, 0.016298921801437844, 0.016665882025644747, 0.016587369277146245, 0.01679906374261016, 0.017476769159580866, 0.016970715552227792, 0.016417512957373395, 0.016747410978323652, 0.01775107924339492, 0.017153277577707553, 0.01700498219323301, 0.015680136461783654, 0.015658961149015476, 0.015754666115758428, 0.01600352454542179, 0.01599091798655628, 0.016053664234820183, 0.01698415158295021, 0.016305321395086645, 0.016621601972254412, 0.017338379629576874, 0.016445681103192663]","[0.09870952849043342, 0.10003466218944086, 0.10065456980313342, 0.10077857472600057, 0.09532240276141268, 0.09955020833772646, 0.09935434479088927, 0.09760359446555783, 0.09893959977920082, 0.09992514827025634, 0.0968874787608965, 0.09949825458090436, 0.10119381260487537, 0.09578631310952072, 0.10037942895239434, 0.10017804748303606, 0.09767062026003581, 0.10095491874802258, 0.0970111872976058, 0.10030089831688185, 0.09863545315897553, 0.09962922373122841, 0.09809037135798386, 0.10143523470566597, 0.0982181804942202, 0.09798522182001947, 0.1005910200335988, 0.09858599352709237, 0.09744708827511284, 0.09840303492938268, 0.09829288084057858, 0.09974493359259906, 0.10020201166955987, 0.09974319767015133, 0.09818151339106627, 0.09846538281730273, 0.10053079252292549, 0.10000735264321432, 0.09943081589675874, 0.09677084149878669, 0.09668010071616913, 0.09710700472620967, 0.0973196253127057, 0.097023067564681, 0.09752755029049838, 0.09918384190211793, 0.09766527898240619, 0.09876318549210429, 0.09971471014674073, 0.09827193685569337]"
m6,37,"[263.5230675295889, 281.56159081121314, 284.2694910261187, 248.55513550255625, 250.62880627495372, 272.8039080108466, 267.0275938728554, 264.5466688996197, 274.3685446926935, 269.2742119499401, 278.21413702205194, 270.3995200817411, 274.0743573686024, 297.29170376328716, 279.09846159320676, 258.3837098489042, 284.0617450509883, 293.8868802538894, 267.6242663382198, 268.70504259356517, 246.70736369995174, 274.573600910801, 253.9634816006319, 272.4872714077557, 260.01330783542363, 284.44202414978196, 264.6786891449092, 275.44375736551734, 258.42645559626425, 269.21167290623515, 254.25349881366745, 268.8987678566059, 282.84322013074467, 282.5132073392472, 275.684294819717, 279.20665303529734, 271.3991780122727, 264.99398866032817, 279.97017137666876, 269.17633865697974, 272.75161832756083, 247.46905575720797, 267.5039258300877, 270.26650514181665, 275.4661265303129, 252.10053330358807, 280.9045858169541, 266.4380541523709, 253.3758117914151, 252.90712284924626]","[4.458445377171788, 4.447058991146851, 4.398656544025925, 4.6541445258396, 4.5265545649118435, 4.488112690948231, 4.43365115490705, 4.390689013940885, 4.483827379881855, 4.419062544969066, 4.469718379754701, 4.515160017141196, 4.769123308074526, 4.511946235278644, 4.396344639308049, 4.595294906739946, 4.382649430197337, 4.730712595653521, 4.530772203339497, 4.36369228739727, 4.754075679701551, 4.383839473847679, 4.6933728979339895, 4.529687192410572, 4.658397276641382, 4.647094719606567, 4.509100070663313, 4.312204016576451, 4.289220276953063, 4.53512266168782, 4.210570273524988, 4.395551325505437, 4.316877493219948, 4.369795822571108, 4.474926856544336, 4.320903942376599, 4.486628866894998, 4.4962601346082565, 4.5704037470798236, 4.470851530446495, 4.6717988920630775, 4.343720641658122, 4.517606221743738, 4.616694451708242, 4.66653722100719, 4.737078185591248, 4.450885024271781, 4.54538287583554, 4.651179948161626, 4.497447160243121]"
m7,2,"[217.46895932336133, 201.6656522341281, 202.24738346420946, 249.10837562265544, 200.0876309564583, 219.163500132775, 231.12619297487456, 214.0619025908055, 210.3511089584915, 214.4520173144723, 212.3284747039146, 199.3839428756879, 232.35063388051205, 203.58585659550204, 220.61303200540294, 216.127590258419, 213.8603383489587, 211.50558475055948, 210.08286120396696, 203.42000489938133, 227.47673174434118, 214.0580748502988, 226.88244234061878, 219.99383044273296, 200.49719886982948, 203.56976020118879, 211.70694222350554, 193.8220423480188, 215.8553028152612, 199.34252963338042, 201.32542375794512, 210.97579018490654, 211.75161209518592, 205.6233255210633, 214.01684245768365, 207.854954139265, 248.98425973419108, 209.2021509491131, 196.7917061732401, 207.45099857304615, 200.34346290460962, 199.0455796271468, 211.9837450368094, 203.19277322038172, 221.34861688157346, 204.46824660139666, 223.81779126499524, 207.50501804698735, 227.66353115425434, 198.99998650017523]","[5.417981132419044, 5.312471551180124, 5.296170145563047, 5.553544879368512, 5.399277949314725, 5.451466052972275, 5.462170433902888, 5.297864134750854, 5.296177697313197, 5.348935229795495, 5.367483384227214, 5.29402997337761, 5.421109544146537, 5.331558324771083, 5.451523140286298, 5.3350321110011905, 5.490613376845202, 5.225021806429197, 5.341378973002928, 5.368564839434903, 5.442621315346267, 5.3637040804532345, 5.385508898887142, 5.445658216889954, 5.328800413001822, 5.40175745882744, 5.360563100729569, 5.325997208471222, 5.3751087041026855, 5.300049555529893, 5.345484602204573, 5.328463957006177, 5.390257320072753, 5.407564672479704, 5.308048146786556, 5.362807403121882, 5.567502178202346, 5.354366876482779, 5.320460325846401, 5.304170524158907, 5.358804419980758, 5.286258123310998, 5.443944566828596, 5.268738050104677, 5.4231447913224615, 5.298316505797002, 5.428360282926752, 5.372606774742062, 5.5895761789715195, 5.340993306993803]"
m8,3,"[0.20065665710680977, 0.2088779563711081, 0.18880954895205904, 0.20670506095917215, 0.19227277244268848, 0.19748469455696366, 0.1924040245157367, 0.21067266418571212, 0.19547923943925133, 0.1954622067222014, 0.19343934959688563, 0.1948112399128853, 0.2017655502652684, 0.20718052578664684, 0.1902750243257207, 0.20196982810377243, 0.1966288611040982, 0.19213018562344045, 0.19451287546488144, 0.2010287856382651, 0.1942805962970816, 0.19935769580505855, 0.18868595254282652, 0.20169457263972568, 0.20286419321065355, 0.2086935473423899, 0.187497934485764, 0.20486581760036723, 0.19802324671362181, 0.19886776897533914, 0.19272556439623578, 0.21307609707395378, 0.1958682475383325, 0.1970309523513955, 0.186042039890546, 0.19065456147836282, 0.19239427435093578, 0.20576523159939775, 0.2131329761064484, 0.21646253847102478, 0.19657396874631694, 0.18801967084485913, 0.1933843211580601, 0.2116619332759142, 0.18823601030400863, 0.19739977778264456, 0.20747701179320246, 0.19855933861833433, 0.21017791509629719, 0.1877762820227973]","[0.3435813878316022, 0.34467907755881316, 0.33213662646095793, 0.34546514270381756, 0.3359813730098647, 0.33916257532457894, 0.3339371863337791, 0.3420922053607934, 0.3375851589360787, 0.34073159777252765, 0.3364006972799294, 0.33637875148764296, 0.3423283463329477, 0.3481270146589189, 0.33238284006360264, 0.3417238750276903, 0.3374377009524324, 0.33524480321352407, 0.3349912729907439, 0.34121495875620544, 0.33675600955435847, 0.3404709823469978, 0.3314646305176268, 0.34351829661408645, 0.3416386237237906, 0.3455461278284897, 0.3319052706004493, 0.3446013581528108, 0.336849844272968, 0.33841390637293567, 0.3357951115430702, 0.3479494913307644, 0.33709160097537016, 0.3404145508916227, 0.3325825604539408, 0.33630178958648393, 0.3340663827958858, 0.3455023798804038, 0.35157969838855396, 0.35182228352741374, 0.3398288806055385, 0.33357300960531405, 0.3355741729609332, 0.3456578399956705, 0.3301944080662569, 0.33647692418436237, 0.34484472263999866, 0.3404695584293757, 0.34678720306030264, 0.3316663413653272]"
