regression_function,max_depth,max_leaf_nodes,mses,maes
m1,,50,"[0.0009504640683798856, 0.0009420488894216558, 0.0009788746066646862, 0.0009483899691690848, 0.0009613810023344168, 0.0009602783851555838, 0.0009579440687259566, 0.0009516628278934751, 0.0009445711058585079, 0.0009286918406853899, 0.0009575098475200916, 0.0009542208646567916, 0.0009994768582144058, 0.0009303310156574135, 0.00098870645611035, 0.0009285125859651666, 0.0009710036581400182, 0.0009882412371375986, 0.0009623355609936824, 0.0009867394628745117, 0.00096208317680715, 0.000974902619578698, 0.0009655940816900927, 0.0009627700412833903, 0.0009835784501619903, 0.0009587728280677846, 0.0009575138926082778, 0.0009676369614738003, 0.0009569489803359834, 0.0009669650178288993, 0.000952415388003438, 0.0009562284703353832, 0.0009527359554013984, 0.0009574045806793621, 0.000943534747573732, 0.0009641131952355784, 0.0009790711143826852, 0.0009361731979165868, 0.0009457379941462024, 0.0009396752769590382, 0.0009647015732594788, 0.0009721161746748504, 0.000955469694640533, 0.0009711291530467706, 0.0009655639122118484, 0.0009624289793780514, 0.0009404573466034541, 0.000955453126966311, 0.0009390044913371139, 0.0009383977506529196]","[0.024549850088742768, 0.024441735189377322, 0.02485123899821903, 0.024529871293334997, 0.024731094685763684, 0.024651271579855076, 0.02458401104949233, 0.024573440828606467, 0.024480326571854893, 0.02431460853115441, 0.024632065036592515, 0.024614631391444933, 0.025161783704691434, 0.02425731533266062, 0.02502081860147924, 0.02428106572397772, 0.02486634249252286, 0.02496566634337918, 0.024675256305581005, 0.02499023508681235, 0.024676493321201, 0.02490587484491842, 0.024681730383452217, 0.024748061524766485, 0.024899577423519864, 0.024622735663201525, 0.024633756018613225, 0.024743351664774735, 0.024664223035690516, 0.024752046950003125, 0.024604302900521534, 0.02462336257578252, 0.024589264243922195, 0.02465719238398446, 0.024508550785702406, 0.024688500858006383, 0.024972432630846874, 0.02439158983886074, 0.02455669507787802, 0.0243773458692657, 0.024810765244657713, 0.024801581685695073, 0.02459265014338074, 0.024803367129336604, 0.024697731581181364, 0.02469779593494165, 0.02440674431855643, 0.024630612050725167, 0.024423784645507596, 0.02438533358229743]"
m2,10,50,"[0.0037575918953375816, 0.0038677849083271804, 0.0036973863948274637, 0.003715868547842719, 0.003681889368601021, 0.0038252378629833944, 0.0036861773762337487, 0.0038027315692509135, 0.003662328564765258, 0.003585238948350096, 0.003620273996337939, 0.0036923644868379337, 0.003700160173817596, 0.003788370812010069, 0.0036329880284233377, 0.003719355682216622, 0.003720108536110626, 0.0035973269025968125, 0.003686775515103191, 0.0036989468848337517, 0.003730634369600693, 0.003677934812060505, 0.003738319639767298, 0.003655159385985736, 0.0035988630520084825, 0.0037377615766965265, 0.0037343989231136384, 0.003825451073059015, 0.003647572694418763, 0.0037013316861904044, 0.003671721165802967, 0.0036987945473416755, 0.003691689598419061, 0.0037122173655918396, 0.0037011076029927516, 0.0036314640135092485, 0.0036832293772356894, 0.0036345335487569827, 0.003579148267772978, 0.0036810739953772936, 0.00369582639326221, 0.003655980123409528, 0.0037295232869530336, 0.0035356230181545975, 0.0036883775841019184, 0.0038067680993714337, 0.0037140120938018947, 0.00368585888987086, 0.0037821050025419315, 0.0035962341534647793]","[0.048869969373345055, 0.049551279341572205, 0.048560873248923435, 0.048519619170840016, 0.04841496830251368, 0.04920245465289774, 0.04846342313594705, 0.049228227197253546, 0.048269710923085, 0.04786144174311195, 0.04795219199755482, 0.04854794610268629, 0.04849808332760127, 0.04894515582583309, 0.048108870785322444, 0.04863444249527034, 0.048546366856534066, 0.047858757148937364, 0.04844717462977166, 0.04848265131690475, 0.04879066917335565, 0.04836713616499961, 0.04875979331939938, 0.04818360447610561, 0.047922029223624506, 0.048789987821327624, 0.04878886616129992, 0.048965854657189396, 0.0481372524841871, 0.048578091484256264, 0.048300491335654706, 0.04853017214696765, 0.048525036533387654, 0.04857894494232847, 0.04853262740295562, 0.048034935378895215, 0.048399743001491295, 0.04805065241138648, 0.04779222368502431, 0.048440231567984514, 0.048550541410498235, 0.04827085393174737, 0.04869226317070475, 0.04748403233977918, 0.04845595491430306, 0.04906386143552553, 0.04861059498115652, 0.04846366464307251, 0.04896697068543147, 0.04786909631402741]"
m3,,10,"[0.09874742467758997, 0.10733364972712224, 0.10431793123514904, 0.11420966600706743, 0.09549206813207635, 0.09677204358099849, 0.09770912096896836, 0.1475556803055399, 0.09649354285586727, 0.12669633934051072, 0.1343693362570606, 0.09352707036528253, 0.09396043038068622, 0.1069961778433763, 0.1192051793632877, 0.11593486203860096, 0.14045011631318802, 0.096507237507342, 0.0967256042108138, 0.10070091501400702, 0.11250975920090148, 0.13550099837958404, 0.10838610095383999, 0.10135232371257058, 0.13346089312806417, 0.09744140851655846, 0.09726313852920626, 0.10276958477582242, 0.12916684809746676, 0.0988759664316511, 0.12843046638453848, 0.1085263095425476, 0.11101422531342557, 0.11504728295032485, 0.09264542503425945, 0.1355650302477817, 0.13714518927067126, 0.12357880217727642, 0.1079349894470471, 0.10096691843389553, 0.09665954750491267, 0.1062981905087799, 0.13529094850725748, 0.1659796874697889, 0.1020992627709698, 0.12076913876316098, 0.11805050636286239, 0.09468689228133005, 0.09251012433577299, 0.102451632264232]","[0.24608461358461725, 0.24709903147191126, 0.24609682328317073, 0.24587443787132743, 0.24393689254528989, 0.24495823280583742, 0.24599654304044566, 0.25145543181757146, 0.24475406579521586, 0.24984530246666287, 0.25042812857240615, 0.24377015898066431, 0.24372762422342462, 0.2460648359624571, 0.24696110088760423, 0.24967350813232278, 0.25042363363402503, 0.2459121020224024, 0.24471772246449314, 0.24477462730647964, 0.2467516387050932, 0.25049961900271955, 0.24539155608960286, 0.24509855657062168, 0.25002347039149514, 0.2438123703198817, 0.24431571855265094, 0.24688633723167536, 0.24921179798371526, 0.24331900441275692, 0.25122457542869137, 0.24676080351833177, 0.2480723084620697, 0.24840802427190004, 0.24201073004301787, 0.24848963869878946, 0.25078165645594147, 0.25043594035597116, 0.24607495523221626, 0.24803801853527227, 0.2452330992066901, 0.2443783291245177, 0.25339281615223574, 0.25716415660635167, 0.24410331002758415, 0.24927627914564038, 0.25099130112731194, 0.2428009517480917, 0.24213739958759808, 0.24652643697469953]"
m4,20,,"[0.001620550414823767, 0.0015970236217278213, 0.0015090599926232606, 0.00145257085492892, 0.0014652380670840863, 0.0015801673974098912, 0.0014475516437887153, 0.0015508686031927325, 0.0015718557300324206, 0.0015807703271439554, 0.001505370013576405, 0.0015098414486663836, 0.0015923148255362236, 0.001679453272294916, 0.0014764822251892525, 0.0015243132485877047, 0.001495868165498626, 0.0014993185419749319, 0.0014263850435054766, 0.0015196495637473128, 0.0013805035273155087, 0.00143833497515429, 0.0014838346311495366, 0.001430747894499981, 0.0014298739168688058, 0.001370275690960852, 0.0015303692454351904, 0.001479735930270909, 0.0015433754115862948, 0.001489524497686152, 0.001555629141919877, 0.0015487769456996505, 0.0016548686377769442, 0.001296990921197386, 0.0014706843632864295, 0.00156492872376905, 0.001583815304428805, 0.0015289846672502335, 0.0016998082311629145, 0.0014890552617025238, 0.001447051157438804, 0.0013739051451657244, 0.0016444137362105664, 0.001569205591206478, 0.0016089953872291962, 0.0015359182745526441, 0.0014689357178756003, 0.0017308139787352223, 0.0014814241149968472, 0.0014874103552099535]","[0.030394163337905265, 0.030275852780324602, 0.03035996255046033, 0.02941331199439052, 0.029734144509502274, 0.029796335404030257, 0.029386363496941622, 0.030320015637000406, 0.03047249107536289, 0.03060563225891396, 0.030025893226812518, 0.03019952286373863, 0.03006571718919528, 0.031015595951276214, 0.029775430444485784, 0.03011802240219713, 0.029688186050168118, 0.0301816664743407, 0.029396176931458313, 0.03011674807330759, 0.02903719623128239, 0.02942530788064217, 0.02987940961278104, 0.029522882796975822, 0.029205582971183006, 0.028705906164831357, 0.03017809209560155, 0.029214881834434672, 0.03033823396548664, 0.02983988966050205, 0.030385280804045307, 0.030452343884545912, 0.030975235614047938, 0.02808608528072496, 0.029676780492779435, 0.03025632324207112, 0.030402081422728464, 0.029643461350252327, 0.03145335108474573, 0.02998230029920862, 0.029533084281297216, 0.028779457619796726, 0.030516380456677154, 0.03019240116947247, 0.030846607712196064, 0.030209770713555382, 0.029504738269349445, 0.030598081985380967, 0.029704852125597578, 0.029562649883185382]"
m5,,,"[0.03568812249312447, 0.03273208867004857, 0.032996898251582606, 0.03192854028116814, 0.03383295234607247, 0.03484298555414199, 0.03068095066916117, 0.02777420725250033, 0.03325209766425505, 0.03181574305224945, 0.03500446354380137, 0.0332277996920944, 0.03291858906817903, 0.031866090362105, 0.03164292329080345, 0.03446464451975352, 0.03328185361316384, 0.031980482964191655, 0.03265845375277735, 0.03080549769035244, 0.03339092962716026, 0.03426861243114988, 0.0329038253127129, 0.03483387781705527, 0.03360957159454802, 0.03259792843579409, 0.03266428506492263, 0.03177717341072831, 0.034687693181338124, 0.031072615645999516, 0.03608263721004689, 0.03248262396080578, 0.03408723285965129, 0.0329689571531408, 0.0357132215475922, 0.03399164172064549, 0.031077013619457375, 0.03327106178246109, 0.03149284190789783, 0.033556278667091294, 0.03388581281056098, 0.03543417192124205, 0.037849830952803386, 0.031810201982895636, 0.03273829609678218, 0.030084312619652546, 0.032625076852792444, 0.03269521637157247, 0.033224565147641376, 0.03210954228816516]","[0.14067355485536864, 0.13633625500024152, 0.138034912807677, 0.13514661668205188, 0.1375396250076078, 0.13925047141480618, 0.13346063063061922, 0.12746728654929762, 0.13600633583701677, 0.134305197872314, 0.13848093316028423, 0.13556293103255743, 0.1365762733028358, 0.13570891784179234, 0.13267663737486843, 0.13887005476619724, 0.13801882309361052, 0.13575016680496485, 0.13650800773140992, 0.13275903785024387, 0.13729815725059846, 0.13767105028169582, 0.13645396092366024, 0.14105000766990225, 0.1389950450473742, 0.135255165842564, 0.1353508755696011, 0.13459190794912174, 0.13938939223086813, 0.1339890019134683, 0.1416239937793076, 0.13342437358647782, 0.13743781289290594, 0.13714461137755343, 0.1406218323032865, 0.1381241512622099, 0.13291413882918582, 0.13696473111109098, 0.13451922487939272, 0.13682003482416552, 0.13697344660961616, 0.1414304335903603, 0.14186830076678755, 0.1341933824644972, 0.13631023480710588, 0.1319661821030046, 0.13650974587772235, 0.13674312649890916, 0.13823155995992675, 0.13466057654368005]"
m6,,50,"[2.99762523439475, 6.3195230382736645, 4.443654916484822, 20.71039719699874, 12.356209163300484, 12.42307277992663, 19.67079500628754, 4.739881739208515, 5.97294123958145, 5.369566127039548, 5.705181871961842, 7.272158297140431, 15.27030980916495, 4.031755503174112, 5.743830657805182, 3.7372247577370152, 3.2701715905697406, 5.582327237163378, 3.008290572195882, 12.816620633599804, 5.521583651922278, 17.859406308660727, 3.3810482617950965, 3.800541905301314, 3.9331414014321844, 6.776436493676712, 7.864019729410511, 4.380464087097164, 5.229963123225736, 3.531338643899663, 4.503404638246404, 3.110893423082586, 3.2331297472113203, 5.994569689514277, 2.7050306091723346, 15.501552524327073, 4.888923992837197, 5.047175069015583, 2.3688214454795076, 13.68354506687269, 4.282151203436649, 2.760765820470503, 9.85203080426414, 7.296321185230566, 9.983605796042959, 3.7280537776050005, 3.4059765818113705, 2.962156330485326, 10.635887717482108, 8.411719894424175]","[1.0074146032755351, 1.0762787898467152, 1.1011624464836025, 1.2230879523323115, 1.1712009350265384, 1.164586168398451, 1.2117874920835596, 1.062957296863355, 1.1111363789723379, 1.099260493597022, 1.1116873630338355, 1.1288699673124616, 1.2461510241002032, 1.0542527033826543, 1.1070714420557424, 1.0888093487317625, 1.0557033940574498, 1.0571837365912626, 1.017837291132648, 1.2534864786261357, 1.093287360673322, 1.2381720165243757, 1.0283602197920352, 1.0585871701019156, 1.0652063846400963, 1.1193504126921427, 1.0785867067580468, 1.0619172003724977, 1.0635536943553168, 1.094030995324534, 1.0763639646639034, 1.0567655821615103, 1.0587325491147106, 1.1251017321542578, 1.025631914908408, 1.2484666776476223, 1.108780514838707, 1.0972400881353879, 1.0020685284829864, 1.1735118535734126, 1.0585862789591947, 1.0191732962209292, 1.2064674379188862, 1.1131939792460726, 1.1320968622760248, 1.062494587263792, 1.0192350628209013, 1.0490518638183857, 1.1536383554135672, 1.1472010412170004]"
m7,,,"[161.92170618453343, 130.3464001027403, 158.445162923581, 172.62975921874215, 140.93071645701426, 134.77291096781275, 145.81094692516942, 171.93853620237883, 107.62902383727938, 123.84770622796908, 102.6953133715987, 144.48605497352222, 130.31070017819644, 149.80029078521133, 146.17225336694153, 144.37581949258868, 131.5533247886655, 132.3916922756758, 172.8782919680252, 138.86820739458372, 114.95764083640529, 145.46969488892498, 140.3099182059625, 117.94860759153556, 270.54510783122913, 108.42521934654962, 188.08541815341596, 486.2129056047472, 126.916269261089, 111.46219548670996, 104.71841694658573, 139.99986391160874, 130.0174306986332, 160.03737831865894, 169.81418496782325, 143.74374809678275, 124.24738404756638, 149.81583992328933, 113.06352156346823, 110.3683697987402, 139.67470995668563, 144.69456142019, 154.4485596085025, 192.88984005550924, 125.15781215565332, 149.55590247397313, 153.12678555444694, 144.62428447045443, 106.74161774145914, 158.50941753598968]","[4.614870418336924, 4.0780978588744885, 4.289763605577675, 4.538298887020954, 4.184945187875552, 4.314708847818988, 4.31176216658213, 4.374178598174984, 4.025728594711719, 4.094385613422507, 4.02740908596952, 4.101147363545621, 4.308270397865793, 4.367907184487038, 4.203328860323148, 4.293500171851822, 4.338431763076882, 4.27732946747562, 4.552479743676739, 4.575238516603331, 4.084389445316197, 4.198382258827898, 4.198885438632172, 4.031054838030478, 4.555713438682059, 3.986477646461598, 4.420794584804681, 5.091637750879081, 4.072349754422727, 4.080995123720511, 4.023537429550533, 4.330046830485071, 4.08906668377116, 4.3579706423034485, 4.749130841131166, 4.213242841885205, 4.116580674540798, 4.295518996428427, 4.115016844017054, 4.02368422070403, 4.335834831108895, 4.397122435902033, 4.380952539814797, 4.398267882112562, 4.102782523865936, 4.443872246895126, 4.415176174533287, 4.451348172862543, 4.105812757584017, 4.325164281349402]"
m8,20,,"[0.5440150772040554, 0.6111680784282325, 0.5584790280984764, 0.5254798982211522, 0.5807621745439342, 0.5522546281643869, 0.5655211841160936, 0.5294825079668698, 0.5399509764606787, 0.5894730367523645, 0.5315158366786924, 0.5276297428970121, 0.5527373798089931, 0.5547225546621295, 0.5339981629716766, 0.5723434727530589, 0.5256094983986201, 0.5913800151024279, 0.5605577202288861, 0.5737482340218824, 0.600255312944316, 0.6052944180442513, 0.5657842343369508, 0.5739190388269996, 0.562398840362003, 0.5958205979046192, 0.5900239160897521, 0.5839881646138494, 0.5590276989735985, 0.5414834701731158, 0.5690299687468332, 0.545429873147194, 0.5287287632200119, 0.5534896859287796, 0.618860750825244, 0.5610929971053445, 0.5431203525274515, 0.5353981234041366, 0.561777962696282, 0.5814848768432571, 0.6182236031133289, 0.5564290216204182, 0.5402935618927811, 0.5939686623362063, 0.5266858808516502, 0.5530725725588203, 0.6165460399529612, 0.6132679867751044, 0.585287556996611, 0.5609153423628287]","[0.569025930577159, 0.6000834453128319, 0.5795922098196403, 0.5678325660133778, 0.5868356598970391, 0.5733641971178741, 0.5813577373987598, 0.5522860391737228, 0.5708870956615291, 0.5898676046395053, 0.56365810331165, 0.5620087616275764, 0.5737053167189059, 0.5800120673841807, 0.5695427593323982, 0.5831139829211914, 0.5580836460144528, 0.5962191075806557, 0.5787803780819357, 0.5853875189007771, 0.6036536673172251, 0.602003315080121, 0.5843164956310067, 0.5837173314473612, 0.5735598953507359, 0.5982383721771273, 0.5916656589138217, 0.5889345640024451, 0.5816420454254786, 0.5652307913428135, 0.5820210055003308, 0.5681064561159127, 0.5676345574809164, 0.5779479401676669, 0.6042218625235901, 0.5810916563549661, 0.5693491467952914, 0.5675757918537339, 0.5793321113748335, 0.5892427877456489, 0.6001610390731422, 0.5713058750094779, 0.5709517655083077, 0.5942412837284121, 0.5615664059806149, 0.5734857993446327, 0.5988656947797606, 0.6005995485720053, 0.5916001316040482, 0.5791511456296066]"
