regression_function,max_depth,max_leaf_nodes,mse,iqr
m1,,50,0.0009577289806671172,1.7713789822412698e-05
m2,10,50,0.0036940954400500716,6.960236549397123e-05
m3,,10,0.10716491378524927,0.025368049694086625
m4,20,,0.001509450720644822,0.00010182031609762732
m5,,,0.032943773110659914,0.002023658541200339
m6,,50,5.299764625132642,4.544448330532755
m7,,,142.3372322768985,28.520689662976366
m8,20,,0.5610041697340866,0.04161867520431817
