MSE,MAE
0.46326756299778366,0.5175918683886597
0.5206210904478659,0.5308828385296274
0.44508657088715947,0.4964263399744197
0.4373078217559269,0.48034471661346406
0.5218085195364794,0.5440466001233835
0.5803134577583031,0.5776064105106342
0.5219692386728498,0.5381784579769953
0.49378743911817785,0.5393645542296085
0.6030343393722033,0.574773562011783
0.5974538142402932,0.5869831943259903
0.5743329933039557,0.5815390848945189
0.4523611899821098,0.4956783892389542
0.6404955270799765,0.5935089081421587
0.5846506425149384,0.5798604384727926
0.47122980409286686,0.5285891631524711
0.45319841127330013,0.5142736210556663
0.4912202363217215,0.5333315704228738
0.4357520843734898,0.5007506408745273
0.46518830698416314,0.5124378906200744
0.45635651741003247,0.49003790622811466
0.3572674543618423,0.455109659374515
0.5768322944852065,0.5458790398644473
0.6085554523644293,0.5802353039081161
0.5129622998725186,0.5562245161603875
0.5070828414026113,0.555914691914672
0.49294999628519764,0.5352996970840744
0.4442159252115859,0.49420675334633896
0.38264502372485915,0.4534560842856176
0.37984406275002636,0.44279360398443574
0.5527330246477934,0.5745408772346448
0.3869087028046904,0.47610448979871145
0.5065349101341154,0.5283243105781753
0.5227145785573228,0.5654907466653597
0.39828511229730024,0.46192230552155206
0.4538304832056897,0.4904311338241956
0.6426003012609492,0.5836705572354346
0.5617996782810631,0.5897074169477463
0.47944511409375395,0.5327400090263067
0.6564993386452753,0.5993717291052503
0.5694014018346771,0.5733855808653013
0.4988491487517361,0.5312968993397593
0.5793841998691028,0.5615951626776566
0.49995450428475025,0.5364134914457988
0.4774801637052338,0.5248432037535328
0.4904381563217411,0.553257617238918
0.4945585107747434,0.5373335413454102
0.5053237937545316,0.5204189731705807
0.49435851285643484,0.543454219573167
0.43192584521659294,0.5075413811821794
0.43164735819884364,0.48765105586281005
