regression_function,units,mse,iqr
m1,21,0.0007599629266931121,4.135568848726533e-05
m2,28,0.003118804920705413,6.489326392791371e-05
m3,9,0.13484956134253628,0.01289789097832919
m4,9,0.0008202136559406928,4.9911076537342575e-05
m5,4,0.016700093741145457,0.0008156820317388735
m6,37,269.77035854587837,13.802708599371613
m7,2,211.240687467733,13.884035916994122
m8,3,0.19721536506702003,0.011881002017077313
