regression_function,network,units,mses,maes
m4,create_network_2,12,"[0.006035736296325922, 0.013522596098482609, 0.008534600958228111, 0.004021062981337309, 0.006182474549859762, 0.010639596730470657, 0.013096235692501068, 0.008529409766197205, 0.012385155074298382, 0.005343279801309109, 0.010158897377550602, 0.008423766121268272, 0.003583159763365984, 0.0028403468895703554, 0.008191442117094994, 0.009340925142168999, 0.01186774019151926, 0.006096747238188982, 0.004902475513517857, 0.0034274673089385033, 0.025712408125400543, 0.0025484077632427216, 0.006715546827763319, 0.006288283038884401, 0.013159270398318768, 0.004890548996627331, 0.005076137837022543, 0.007529896683990955, 0.006873279344290495, 0.008159994147717953, 0.007368417456746101, 0.007650287356227636, 0.011199390515685081, 0.00846748799085617, 0.009939240291714668, 0.007931618951261044, 0.004206733778119087, 0.005236616358160973, 0.006764168851077557, 0.00562639394775033, 0.009013443253934383, 0.011891464702785015, 0.007645684294402599, 0.006175911985337734, 0.008000964298844337, 0.005670891609042883, 0.004902169574052095, 0.008054903708398342, 0.010977417230606079, 0.00873666349798441]","[0.06174815818667412, 0.09248780459165573, 0.07560213655233383, 0.049363695085048676, 0.06340271979570389, 0.08386227488517761, 0.0920642763376236, 0.07220012694597244, 0.09013038128614426, 0.059231407940387726, 0.08227577805519104, 0.07426949590444565, 0.04538591951131821, 0.04160337895154953, 0.0732574537396431, 0.08111054450273514, 0.08974641561508179, 0.06249253824353218, 0.05537731572985649, 0.045466482639312744, 0.10798385739326477, 0.039252083748579025, 0.06833221018314362, 0.062030963599681854, 0.09303423762321472, 0.057090360671281815, 0.05454389750957489, 0.06994414329528809, 0.06562639772891998, 0.07271085679531097, 0.06917973607778549, 0.0716138556599617, 0.08617622405290604, 0.07284069061279297, 0.07987382262945175, 0.07156196981668472, 0.048645779490470886, 0.06013770028948784, 0.06567244976758957, 0.06105735898017883, 0.07655078172683716, 0.08810268342494965, 0.0719682052731514, 0.06321384757757187, 0.07076025009155273, 0.06008215248584747, 0.055920302867889404, 0.07094112783670425, 0.08180389553308487, 0.07657447457313538]"
m4,create_network_3,12,"[0.0010839292081072927, 0.024247050285339355, 0.004153100773692131, 0.0013615089701488614, 0.0038665139582008123, 0.0071607609279453754, 0.0012513544643297791, 0.001716655446216464, 0.004094487987458706, 0.0026477999053895473, 0.004372822120785713, 0.0016617815708741546, 0.0017763813957571983, 0.0014403531095013022, 0.004082432948052883, 0.0011229987721890211, 0.0019775142427533865, 0.004001210443675518, 0.0015705266268923879, 0.00225410726852715, 0.001047006226144731, 0.004167091567069292, 0.0024886063765734434, 0.000971715257037431, 0.00168199825566262, 0.000990367610938847, 0.0019925374072045088, 0.0025186180137097836, 0.0026730643585324287, 0.0010569551959633827, 0.0031804852187633514, 0.0018622407224029303, 0.000885500165168196, 0.0019680692348629236, 0.000988897867500782, 0.0041968440636992455, 0.0023648261558264494, 0.0013542906381189823, 0.004188388120383024, 0.0033515484537929296, 0.0025618616491556168, 0.0036879058461636305, 0.0011630639201030135, 0.004887041170150042, 0.0018010130152106285, 0.000995560665614903, 0.002678804099559784, 0.0017913832562044263, 0.0037894994020462036, 0.0029625913593918085]","[0.02551613189280033, 0.0867142304778099, 0.0512581504881382, 0.02907400391995907, 0.04988289624452591, 0.06832339614629745, 0.027904167771339417, 0.03004370629787445, 0.05104442313313484, 0.03917185217142105, 0.05231255292892456, 0.0303042009472847, 0.03280951455235481, 0.029725171625614166, 0.049677252769470215, 0.02638256549835205, 0.033233754336833954, 0.04818720743060112, 0.03101876750588417, 0.03594579920172691, 0.024841049686074257, 0.04943980649113655, 0.03618723154067993, 0.02398199774324894, 0.03299576789140701, 0.024584481492638588, 0.034211158752441406, 0.03696640208363533, 0.040784385055303574, 0.025101469829678535, 0.04474079608917236, 0.034006040543317795, 0.023156948387622833, 0.035844478756189346, 0.02472492679953575, 0.05149358510971069, 0.0389137864112854, 0.02958936244249344, 0.04913428798317909, 0.046131957322359085, 0.037130631506443024, 0.04680991545319557, 0.026311613619327545, 0.05478198826313019, 0.03124980628490448, 0.024558112025260925, 0.03545236960053444, 0.0316491536796093, 0.0491739958524704, 0.04317454248666763]"
m5,create_network_1,12,"[0.5823348164558411, 0.5174225568771362, 0.44295984506607056, 0.5361974239349365, 0.3416471779346466, 0.3033391833305359, 0.3928961455821991, 0.7159165740013123, 0.6578915119171143, 0.3073098957538605, 0.5029739737510681, 0.30998286604881287, 0.341439813375473, 0.26840725541114807, 0.32277366518974304, 0.16413938999176025, 0.5690048336982727, 0.2560894191265106, 0.26618823409080505, 0.48150286078453064, 0.21843144297599792, 1.056135892868042, 0.2701835036277771, 0.6293229460716248, 0.5839564204216003, 0.44748425483703613, 0.31996309757232666, 0.5231996178627014, 0.7910382747650146, 0.4780205488204956, 0.44985589385032654, 0.58262038230896, 0.11489421874284744, 0.29164740443229675, 0.30781611800193787, 0.2630576491355896, 0.21844382584095, 0.4400225877761841, 0.46419742703437805, 0.6214221715927124, 0.517301619052887, 0.6618435978889465, 0.4223554730415344, 0.2360326498746872, 0.3418008089065552, 0.5860918164253235, 0.41682490706443787, 0.17882578074932098, 0.534024715423584, 0.18642480671405792]","[0.5606280565261841, 0.5680233836174011, 0.5197675228118896, 0.5965837240219116, 0.45910578966140747, 0.4398341476917267, 0.5056561827659607, 0.7054680585861206, 0.6295934319496155, 0.45707499980926514, 0.5634816884994507, 0.4465954303741455, 0.45114096999168396, 0.40939274430274963, 0.44629809260368347, 0.324764221906662, 0.6036614775657654, 0.3990437984466553, 0.3983922004699707, 0.5485534071922302, 0.36923277378082275, 0.7797527313232422, 0.4257100522518158, 0.5900976657867432, 0.6085663437843323, 0.536983072757721, 0.4565414786338806, 0.5958911180496216, 0.7178170084953308, 0.5351924300193787, 0.4844558537006378, 0.6289280652999878, 0.26369836926460266, 0.4326545298099518, 0.4342940151691437, 0.40387916564941406, 0.3599517047405243, 0.5508453845977783, 0.5526416897773743, 0.6279003620147705, 0.5854086875915527, 0.6273479461669922, 0.5002754926681519, 0.36553648114204407, 0.4712981581687927, 0.6161999702453613, 0.5083029866218567, 0.3181551694869995, 0.6006054878234863, 0.32474735379219055]"
m5,create_network_2,12,"[0.06744222342967987, 0.0611402653157711, 0.08158311247825623, 0.09015834331512451, 0.05743061378598213, 0.08087940514087677, 0.09495989978313446, 0.3032361567020416, 0.07358777523040771, 0.05272747948765755, 0.10696568340063095, 0.09579659253358841, 0.09020761400461197, 0.1381961852312088, 0.06783148646354675, 0.06197817996144295, 0.12970136106014252, 0.06338802725076675, 0.07417386770248413, 0.05508177727460861, 0.0687166228890419, 0.0850784182548523, 0.060578443109989166, 0.07706400007009506, 0.0939975455403328, 0.06548717617988586, 0.06903122365474701, 0.0752759501338005, 0.07686880230903625, 0.07201104611158371, 0.06585507094860077, 0.06629079580307007, 0.08637982606887817, 0.047226276248693466, 0.07101087272167206, 0.06275759637355804, 0.05891484394669533, 0.04107608273625374, 0.05036144703626633, 0.09717211127281189, 0.06376656144857407, 0.06443026661872864, 0.187020406126976, 0.10530941188335419, 0.06939368695020676, 0.1111646220088005, 0.10110832005739212, 0.06840343028306961, 0.05796607956290245, 0.06141957640647888]","[0.2069852352142334, 0.19791477918624878, 0.2226582020521164, 0.2244703471660614, 0.1871693730354309, 0.21532699465751648, 0.23748300969600677, 0.44571584463119507, 0.21648256480693817, 0.1757831573486328, 0.2571612596511841, 0.23184256255626678, 0.23219537734985352, 0.29494377970695496, 0.20693936944007874, 0.1956315040588379, 0.28138914704322815, 0.19730912148952484, 0.20612595975399017, 0.18251493573188782, 0.20370548963546753, 0.22643500566482544, 0.19647620618343353, 0.2142021358013153, 0.23604480922222137, 0.19867165386676788, 0.20102451741695404, 0.2135874181985855, 0.21474458277225494, 0.20687632262706757, 0.2034185230731964, 0.20212039351463318, 0.23283050954341888, 0.17278175055980682, 0.20983953773975372, 0.1936848759651184, 0.18882261216640472, 0.16105784475803375, 0.18005730211734772, 0.2433372288942337, 0.19253183901309967, 0.1975424438714981, 0.34426334500312805, 0.2535555064678192, 0.20831991732120514, 0.259027898311615, 0.23731893301010132, 0.20359547436237335, 0.1846708208322525, 0.18181362748146057]"
m5,create_network_3,15,"[0.04266548901796341, 0.03466178849339485, 0.04980037733912468, 0.042365655303001404, 0.035675015300512314, 0.03045080043375492, 0.033204566687345505, 0.0306748878210783, 0.030872629955410957, 0.031668417155742645, 0.024162491783499718, 0.0272278543561697, 0.02927756868302822, 0.03929287940263748, 0.034251291304826736, 0.034700606018304825, 0.03928885981440544, 0.03731308877468109, 0.02917640097439289, 0.03229046240448952, 0.03732530400156975, 0.04458588734269142, 0.0220610611140728, 0.02788568288087845, 0.03431994095444679, 0.027606306597590446, 0.033070165663957596, 0.039158619940280914, 0.022519662976264954, 0.031243707984685898, 0.0330241359770298, 0.035298582166433334, 0.03163724020123482, 0.04910397157073021, 0.04194999858736992, 0.029264047741889954, 0.03422483056783676, 0.03433132916688919, 0.024901267141103745, 0.03766104206442833, 0.03140691667795181, 0.022280210629105568, 0.03166242316365242, 0.025405609980225563, 0.021320363506674767, 0.04335774481296539, 0.04542451724410057, 0.032089632004499435, 0.036464910954236984, 0.022209040820598602]","[0.16350097954273224, 0.1474289447069168, 0.17084790766239166, 0.15846239030361176, 0.14592279493808746, 0.13432155549526215, 0.14191094040870667, 0.13017159700393677, 0.1381717324256897, 0.14004285633563995, 0.1212170347571373, 0.13096213340759277, 0.13083399832248688, 0.15346109867095947, 0.14882324635982513, 0.14104899764060974, 0.1541157066822052, 0.14453940093517303, 0.13503800332546234, 0.1407429724931717, 0.1518196165561676, 0.16886687278747559, 0.1066577136516571, 0.12643727660179138, 0.1486322581768036, 0.1294344663619995, 0.14575634896755219, 0.15249966084957123, 0.11635232716798782, 0.13575458526611328, 0.1450185328722, 0.1468266099691391, 0.13554662466049194, 0.17688660323619843, 0.16161367297172546, 0.13228242099285126, 0.13828648626804352, 0.14379434287548065, 0.12221882492303848, 0.15099360048770905, 0.14005187153816223, 0.11635274440050125, 0.1410754919052124, 0.12518379092216492, 0.11723386496305466, 0.1660335808992386, 0.16700901091098785, 0.1389584094285965, 0.1534128040075302, 0.118074432015419]"
m6,create_network_1,15,"[413.009765625, 444.4415588378906, 434.1739501953125, 409.1838684082031, 429.80572509765625, 413.3048400878906, 420.8393859863281, 423.09130859375, 433.65521240234375, 405.6552734375, 422.45916748046875, 430.1180725097656, 417.6584777832031, 428.5965576171875, 394.671630859375, 422.598388671875, 439.6606140136719, 418.7972717285156, 430.6982421875, 426.0090026855469, 431.6210021972656, 434.6578674316406, 415.56201171875, 422.8811340332031, 418.5898132324219, 437.6476745605469, 434.2979736328125, 428.4129943847656, 409.85101318359375, 428.3983459472656, 429.7242431640625, 427.2107238769531, 427.87933349609375, 427.728759765625, 457.29901123046875, 406.5927734375, 439.2164306640625, 422.7817687988281, 421.2984924316406, 399.81024169921875, 418.3731689453125, 426.8537292480469, 425.7047119140625, 386.4197998046875, 410.1539611816406, 406.6919860839844, 409.9912109375, 430.86865234375, 438.4527893066406, 419.4367980957031]","[7.372419357299805, 7.54990291595459, 7.322068214416504, 7.356426239013672, 7.538867473602295, 7.092467308044434, 7.552064895629883, 7.2106757164001465, 7.402936935424805, 7.220594882965088, 7.261140823364258, 7.429882526397705, 7.245236873626709, 7.399336338043213, 7.390488147735596, 7.369257926940918, 7.711143970489502, 7.348884582519531, 7.3500285148620605, 7.360421657562256, 7.3852081298828125, 7.423086166381836, 7.2718892097473145, 7.52570915222168, 7.203761100769043, 7.3787150382995605, 7.373847961425781, 7.376368045806885, 7.223448276519775, 7.550910472869873, 7.426361083984375, 7.323808670043945, 7.385787010192871, 7.431155204772949, 7.474191188812256, 7.332366943359375, 7.57664680480957, 7.598546028137207, 7.689169883728027, 7.419987678527832, 7.151018142700195, 7.425846099853516, 7.473334789276123, 7.332076072692871, 7.347496032714844, 7.467191219329834, 7.3051862716674805, 7.506166934967041, 7.362424373626709, 7.389651775360107]"
m6,create_network_2,15,"[367.0831298828125, 344.4160461425781, 354.5117492675781, 379.59912109375, 330.2841491699219, 321.26788330078125, 358.2587890625, 321.9092712402344, 317.925048828125, 354.1556396484375, 333.65631103515625, 332.49517822265625, 351.69610595703125, 341.037841796875, 309.5680847167969, 347.62188720703125, 320.71136474609375, 346.7096862792969, 359.715087890625, 386.16314697265625, 337.6467590332031, 318.0341491699219, 325.89910888671875, 314.08135986328125, 300.570068359375, 313.864013671875, 383.9466857910156, 337.6109619140625, 350.83587646484375, 323.9375, 322.46173095703125, 320.0187683105469, 317.4149475097656, 344.0867919921875, 340.5805969238281, 338.2786865234375, 340.7198791503906, 325.62554931640625, 332.5513000488281, 347.1446533203125, 337.4632873535156, 354.2866516113281, 316.0330810546875, 294.42034912109375, 335.6737060546875, 330.4107666015625, 322.7176208496094, 325.9071044921875, 367.378173828125, 340.4525146484375]","[7.056680202484131, 7.674383163452148, 7.41859245300293, 8.019198417663574, 6.844534873962402, 6.66682767868042, 7.178398609161377, 6.880979537963867, 6.088085174560547, 7.302353858947754, 6.684500694274902, 7.377777099609375, 7.646081447601318, 7.228153705596924, 7.033238887786865, 6.722686767578125, 6.630706310272217, 7.774514198303223, 7.657632350921631, 8.058286666870117, 6.977258682250977, 6.292850017547607, 7.265859603881836, 5.9875311851501465, 6.434211730957031, 6.8016676902771, 7.663373947143555, 6.854336738586426, 8.058908462524414, 6.524730205535889, 7.132772922515869, 6.287206172943115, 6.932944297790527, 6.575544357299805, 6.514304161071777, 6.892477512359619, 7.304830551147461, 7.081226825714111, 6.531318187713623, 6.500034809112549, 7.819031715393066, 8.003827095031738, 6.594224452972412, 6.415424823760986, 6.681958198547363, 6.17164945602417, 6.817210674285889, 6.619125843048096, 8.0532865524292, 6.79783821105957]"
m6,create_network_3,12,"[274.5440368652344, 281.8055419921875, 212.85665893554688, 343.8941955566406, 243.5370330810547, 309.0203552246094, 220.11412048339844, 254.8113555908203, 271.0317687988281, 255.53900146484375, 258.2261657714844, 191.5986328125, 249.436767578125, 212.95889282226562, 278.1452331542969, 233.47097778320312, 219.1924591064453, 207.94573974609375, 241.45559692382812, 229.98367309570312, 288.5823974609375, 224.6954345703125, 317.4222717285156, 283.5224304199219, 232.7994842529297, 261.7014465332031, 213.4472198486328, 281.4825744628906, 235.77008056640625, 345.17791748046875, 277.7012939453125, 337.1544494628906, 285.42608642578125, 251.70916748046875, 260.40216064453125, 329.96307373046875, 345.3939514160156, 254.00120544433594, 293.776611328125, 267.6980285644531, 332.5443115234375, 349.0863342285156, 213.67425537109375, 201.72998046875, 220.77662658691406, 229.08804321289062, 293.79620361328125, 201.08416748046875, 268.37554931640625, 244.4217987060547]","[6.558575630187988, 6.020771026611328, 5.81740665435791, 7.684622287750244, 5.615085124969482, 7.261787414550781, 5.9375, 5.517545223236084, 6.610628128051758, 6.449253082275391, 5.913274765014648, 5.549501419067383, 5.63173770904541, 5.004623889923096, 5.8955912590026855, 5.389406204223633, 4.883461952209473, 4.714341163635254, 5.803228855133057, 5.898517608642578, 5.87155818939209, 5.245114326477051, 7.333354949951172, 6.805451393127441, 5.762706756591797, 5.720580577850342, 4.891372203826904, 5.426525592803955, 5.428492069244385, 7.1769118309021, 6.087098598480225, 6.635773658752441, 6.279375076293945, 5.693659782409668, 5.850422382354736, 8.909706115722656, 7.964797496795654, 6.292200565338135, 6.894863128662109, 5.746194839477539, 7.291186809539795, 8.071235656738281, 6.215768337249756, 5.065758228302002, 5.5810136795043945, 5.4889817237854, 6.520015716552734, 5.581489562988281, 7.117773056030273, 4.661264419555664]"
m7,create_network_1,15,"[670.2691650390625, 652.9425048828125, 643.7453002929688, 649.8040161132812, 654.1293334960938, 618.2788696289062, 661.0137329101562, 641.534423828125, 625.047607421875, 630.0933837890625, 628.6795043945312, 628.9942626953125, 599.2998046875, 638.6724853515625, 663.7197875976562, 656.3087768554688, 628.2440185546875, 653.509765625, 630.7474975585938, 622.5051879882812, 629.6879272460938, 649.1652221679688, 663.662841796875, 641.9869384765625, 637.1497802734375, 619.4713134765625, 629.568359375, 629.0183715820312, 613.2684936523438, 659.59521484375, 596.2052612304688, 626.4411010742188, 611.0944213867188, 615.4988403320312, 608.0867309570312, 637.3585815429688, 614.8731689453125, 656.0407104492188, 654.4601440429688, 645.046630859375, 670.4957885742188, 650.5752563476562, 639.6791381835938, 722.0820922851562, 628.787109375, 653.3005981445312, 661.282958984375, 653.316650390625, 642.23876953125, 626.9620361328125]","[10.445117950439453, 10.32249641418457, 10.869516372680664, 10.251121520996094, 10.351540565490723, 10.494799613952637, 10.608583450317383, 10.775887489318848, 10.676959037780762, 10.163379669189453, 10.534810066223145, 10.20250129699707, 10.732159614562988, 10.442886352539062, 10.727166175842285, 10.67718505859375, 10.452841758728027, 10.335210800170898, 10.211272239685059, 10.609853744506836, 10.68382740020752, 10.408941268920898, 10.378218650817871, 10.773850440979004, 10.372827529907227, 10.094881057739258, 10.64077377319336, 10.812572479248047, 10.679116249084473, 10.640189170837402, 10.347298622131348, 10.327020645141602, 10.675085067749023, 10.200848579406738, 10.405779838562012, 10.475340843200684, 10.244588851928711, 10.438015937805176, 11.022286415100098, 10.487326622009277, 10.616546630859375, 10.273155212402344, 10.275073051452637, 10.647909164428711, 10.156058311462402, 11.000138282775879, 10.437685012817383, 10.291747093200684, 10.475752830505371, 10.36518669128418]"
m7,create_network_2,15,"[497.1601257324219, 515.8118896484375, 508.1036071777344, 494.5179748535156, 532.9143676757812, 534.9154663085938, 544.364990234375, 521.8555908203125, 484.9495849609375, 557.5176391601562, 503.30926513671875, 513.0305786132812, 541.5350952148438, 478.6272277832031, 504.4914855957031, 431.6236267089844, 518.6135864257812, 541.2306518554688, 523.78466796875, 419.32452392578125, 521.918212890625, 558.4559326171875, 519.4178466796875, 465.69512939453125, 456.8511962890625, 569.4259643554688, 423.2878723144531, 476.6357116699219, 507.0541687011719, 466.24951171875, 466.5165710449219, 476.0189208984375, 534.7825927734375, 544.0202026367188, 563.8541870117188, 501.94073486328125, 501.88531494140625, 557.3435668945312, 494.06640625, 506.65460205078125, 555.47900390625, 495.27679443359375, 542.1804809570312, 573.864990234375, 357.9601135253906, 494.5176086425781, 454.5162658691406, 479.35040283203125, 521.8672485351562, 551.96044921875]","[11.238505363464355, 11.97343921661377, 10.475966453552246, 10.850881576538086, 12.352801322937012, 11.019062042236328, 12.165453910827637, 12.832687377929688, 11.901205062866211, 12.261295318603516, 11.03329086303711, 12.461127281188965, 12.895513534545898, 11.55588150024414, 12.492223739624023, 9.49386215209961, 12.577597618103027, 12.234870910644531, 11.938204765319824, 9.383667945861816, 11.307873725891113, 12.484298706054688, 12.082728385925293, 11.351055145263672, 10.318887710571289, 12.852535247802734, 9.782272338867188, 11.461512565612793, 11.263181686401367, 10.976318359375, 9.884665489196777, 10.985034942626953, 12.108663558959961, 12.329283714294434, 12.501023292541504, 11.855766296386719, 11.76451587677002, 13.701926231384277, 11.4103364944458, 11.510464668273926, 12.650601387023926, 11.133331298828125, 11.987848281860352, 14.121708869934082, 7.176791191101074, 11.838943481445312, 11.407103538513184, 11.69261360168457, 10.927363395690918, 12.032472610473633]"
m7,create_network_3,15,"[189.52484130859375, 148.88087463378906, 139.03868103027344, 149.82586669921875, 213.63980102539062, 446.3077697753906, 494.2479553222656, 273.1814270019531, 288.6924133300781, 317.23284912109375, 305.7591247558594, 396.3585510253906, 162.4987030029297, 188.59829711914062, 158.02259826660156, 301.9276123046875, 157.07989501953125, 228.564453125, 252.97488403320312, 189.18499755859375, 120.00222778320312, 242.48602294921875, 177.06866455078125, 386.2690124511719, 295.495849609375, 260.1990051269531, 291.28497314453125, 284.1720275878906, 367.166748046875, 245.2368927001953, 380.1277160644531, 249.25, 245.6407012939453, 177.48016357421875, 118.84266662597656, 275.62481689453125, 232.0152130126953, 353.38238525390625, 370.3550720214844, 318.2967224121094, 188.4744873046875, 269.7939147949219, 141.9763641357422, 359.1246337890625, 271.0133056640625, 360.5572509765625, 173.71446228027344, 318.5505676269531, 208.79583740234375, 372.3322448730469]","[5.183926105499268, 4.210601806640625, 4.347339153289795, 4.089398384094238, 5.506179332733154, 11.147821426391602, 11.098329544067383, 7.782996654510498, 6.410126686096191, 7.281268119812012, 6.125197410583496, 9.138758659362793, 4.8533101081848145, 5.077417373657227, 3.8098435401916504, 6.613518714904785, 4.466344833374023, 6.180901050567627, 6.759234428405762, 5.154406547546387, 3.5883843898773193, 5.787445068359375, 4.411898612976074, 9.421646118164062, 7.305293083190918, 5.599410533905029, 7.615959167480469, 6.4025444984436035, 8.896273612976074, 6.195591926574707, 8.316479682922363, 6.989161014556885, 6.7398152351379395, 5.062315464019775, 4.250219821929932, 6.7667012214660645, 6.408391952514648, 8.99880313873291, 8.466206550598145, 8.234807014465332, 5.2730631828308105, 6.321750164031982, 4.458749771118164, 9.090385437011719, 6.934362411499023, 9.70505142211914, 4.526392936706543, 7.146823883056641, 5.470856666564941, 9.28596019744873]"
m8,create_network_1,15,"[0.8619651794433594, 0.3653109669685364, 0.3488229215145111, 0.3822656571865082, 0.45821577310562134, 0.473731130361557, 1.8780304193496704, 0.3989236652851105, 0.5088196992874146, 0.739046573638916, 0.3202298581600189, 0.4174250662326813, 4.909094333648682, 0.34594523906707764, 1.0028468370437622, 0.4401351809501648, 0.47815945744514465, 0.768796980381012, 0.5992582440376282, 0.3545561730861664, 0.28389233350753784, 0.4256632924079895, 4.976616382598877, 2.250073194503784, 0.39254385232925415, 0.5769904255867004, 0.4818266034126282, 0.3495323956012726, 0.3558636009693146, 0.5106431245803833, 0.45602303743362427, 1.0708717107772827, 0.5770349502563477, 0.46589773893356323, 0.786937415599823, 1.2794444561004639, 0.36392709612846375, 1.6113719940185547, 0.7610243558883667, 0.6212567090988159, 2.270764112472534, 0.6580703258514404, 1.4720909595489502, 0.7405070066452026, 0.9603371024131775, 0.8627545833587646, 0.4140707552433014, 0.30045104026794434, 0.568838894367218, 0.36532536149024963]","[0.7179336547851562, 0.46198952198028564, 0.4702922999858856, 0.5006482601165771, 0.5185874104499817, 0.5512285232543945, 1.1045153141021729, 0.508781373500824, 0.5399729013442993, 0.6543119549751282, 0.42782270908355713, 0.5162131190299988, 2.048325538635254, 0.4646908640861511, 0.7803694605827332, 0.5264852046966553, 0.5583435297012329, 0.6707046627998352, 0.5825843811035156, 0.46004483103752136, 0.42384061217308044, 0.5069410800933838, 2.0444135665893555, 1.3019673824310303, 0.4976747930049896, 0.5859948992729187, 0.5238015055656433, 0.46938589215278625, 0.46230003237724304, 0.5618227124214172, 0.5126641988754272, 0.8100380301475525, 0.5941925644874573, 0.5202038288116455, 0.6816049814224243, 0.9091570377349854, 0.4752339720726013, 1.0487782955169678, 0.6662811636924744, 0.6238913536071777, 1.3066117763519287, 0.6225515604019165, 0.9960483312606812, 0.656102180480957, 0.7795402407646179, 0.7191902995109558, 0.4915062487125397, 0.4350624978542328, 0.5780528783798218, 0.47060832381248474]"
m8,create_network_2,12,"[0.5351940393447876, 0.31620463728904724, 0.335193932056427, 0.5592901706695557, 0.44078660011291504, 0.3302808701992035, 0.3956524729728699, 0.3845667541027069, 0.6578909158706665, 0.36406517028808594, 0.511118471622467, 0.6154296398162842, 0.5055966377258301, 0.47081148624420166, 0.5073953866958618, 0.2976113557815552, 0.5572136044502258, 0.7120010256767273, 0.7931408882141113, 0.4268762469291687, 0.4343385398387909, 0.3072758913040161, 0.334974467754364, 0.7770266532897949, 0.40049293637275696, 0.5808775424957275, 0.41363734006881714, 0.6902275085449219, 0.34075605869293213, 0.23589491844177246, 0.5690370202064514, 0.3256796896457672, 0.4908645451068878, 0.7119573354721069, 0.45670920610427856, 0.3262462019920349, 0.5121372938156128, 0.3133077025413513, 0.4516988694667816, 0.5637167096138, 0.6035450100898743, 0.379605770111084, 0.3407036364078522, 0.31248795986175537, 0.3852561414241791, 0.5167325139045715, 0.5729684233665466, 0.49461787939071655, 0.478087455034256, 0.40358322858810425]","[0.5863873958587646, 0.45040497183799744, 0.4628530740737915, 0.5988366603851318, 0.5283212661743164, 0.4576985239982605, 0.5064321756362915, 0.5007549524307251, 0.6539019346237183, 0.4828658699989319, 0.5787330269813538, 0.6323004961013794, 0.5735820531845093, 0.5517149567604065, 0.5728400349617004, 0.4404432773590088, 0.5983061194419861, 0.6740840077400208, 0.7143262624740601, 0.5270815491676331, 0.5271211862564087, 0.4473364055156708, 0.46296608448028564, 0.7086746096611023, 0.5080863833427429, 0.6166054010391235, 0.5150566697120667, 0.6686125993728638, 0.4682985842227936, 0.3846808075904846, 0.6085904836654663, 0.45153167843818665, 0.5657162666320801, 0.682101309299469, 0.5461720824241638, 0.45690983533859253, 0.5812303423881531, 0.4454728960990906, 0.5352988839149475, 0.6055456399917603, 0.6192523241043091, 0.4894859790802002, 0.46936535835266113, 0.44703054428100586, 0.4978235960006714, 0.5766912698745728, 0.6042428612709045, 0.5652948617935181, 0.5526654124259949, 0.511278510093689]"
m8,create_network_3,15,"[0.3993454575538635, 0.3453071415424347, 0.27996358275413513, 0.28393614292144775, 0.28434890508651733, 0.33110663294792175, 0.43975287675857544, 0.25494569540023804, 0.27657803893089294, 0.23543234169483185, 0.3786362409591675, 0.30972641706466675, 0.4247469902038574, 0.2635021507740021, 0.300274521112442, 0.3300638198852539, 0.2904840111732483, 0.3120748698711395, 0.30813249945640564, 0.18450555205345154, 0.4690489172935486, 0.32877811789512634, 0.33543097972869873, 0.346849650144577, 0.3622703552246094, 0.2819996774196625, 0.43076568841934204, 0.32150617241859436, 0.4703187644481659, 0.38936546444892883, 0.3004867434501648, 0.24850012362003326, 0.29379889369010925, 0.2812598943710327, 0.33809077739715576, 0.293567955493927, 0.3201063275337219, 0.27546218037605286, 0.27122342586517334, 0.2997131049633026, 0.33560600876808167, 0.3018302023410797, 0.2891787588596344, 0.40377774834632874, 0.39791855216026306, 0.4117395579814911, 0.29240933060646057, 0.353180468082428, 0.41058769822120667, 0.3418104946613312]","[0.5088708400726318, 0.46635210514068604, 0.4204117953777313, 0.42697930335998535, 0.4281189739704132, 0.46073606610298157, 0.5323399305343628, 0.40009698271751404, 0.4262497127056122, 0.3928813934326172, 0.48653194308280945, 0.4519578516483307, 0.5301001667976379, 0.40425530076026917, 0.4380241930484772, 0.46796977519989014, 0.43057921528816223, 0.44887304306030273, 0.44371166825294495, 0.34498998522758484, 0.5499168634414673, 0.46471574902534485, 0.4674663245677948, 0.46725720167160034, 0.4837774932384491, 0.4248022735118866, 0.5281298160552979, 0.4487220048904419, 0.5486841201782227, 0.49709710478782654, 0.43494531512260437, 0.40083178877830505, 0.43491655588150024, 0.42143163084983826, 0.4597164988517761, 0.4320152699947357, 0.44045692682266235, 0.4141191840171814, 0.4146740734577179, 0.44062337279319763, 0.4661484658718109, 0.4327252209186554, 0.42686256766319275, 0.5056384205818176, 0.5099072456359863, 0.520990788936615, 0.4342242479324341, 0.480277419090271, 0.5116556882858276, 0.47223424911499023]"
