MSE,MAE
0.28147509694099426,0.4197322726249695
0.29228049516677856,0.43523719906806946
0.3229838013648987,0.4665602445602417
0.3608070909976959,0.48706889152526855
0.422653466463089,0.5316628217697144
0.2758501470088959,0.4136659502983093
0.5203297734260559,0.5876919627189636
0.3561280071735382,0.47160911560058594
0.36352065205574036,0.4730478823184967
0.35604217648506165,0.4702140986919403
0.39112573862075806,0.5206794738769531
0.3059089779853821,0.4474020302295685
0.34537574648857117,0.4751599133014679
0.36320123076438904,0.48252594470977783
0.4010707437992096,0.5098545551300049
0.3184356093406677,0.45662686228752136
0.2759239375591278,0.41680729389190674
0.30770644545555115,0.44425371289253235
0.3801722526550293,0.4955308139324188
0.46936583518981934,0.5473813414573669
0.5271059274673462,0.5886808037757874
0.4188581109046936,0.509789228439331
0.36502954363822937,0.4846574664115906
0.3054824471473694,0.4455527365207672
0.32483232021331787,0.45571672916412354
0.32516929507255554,0.459025114774704
0.3422541618347168,0.4503696858882904
0.39401859045028687,0.5075094103813171
0.3484516441822052,0.4735829830169678
0.3860255181789398,0.49610456824302673
0.47505977749824524,0.5627517104148865
0.25187304615974426,0.404012531042099
0.32477107644081116,0.464025616645813
0.4176234304904938,0.503048300743103
0.33987244963645935,0.4700153172016144
0.30723145604133606,0.43657761812210083
0.2932087481021881,0.43378010392189026
0.4483378529548645,0.5297576189041138
0.3177148401737213,0.4506104290485382
0.43011805415153503,0.5366723537445068
0.4276798963546753,0.5238077640533447
0.4247039556503296,0.5358847975730896
0.3203517496585846,0.4631851613521576
0.3720766007900238,0.49545350670814514
0.28056615591049194,0.41674476861953735
0.4406642019748688,0.5383153557777405
0.4754473567008972,0.5664179921150208
0.39755430817604065,0.5121264457702637
0.36562439799308777,0.47973620891571045
0.341449499130249,0.46974238753318787
