regression_function,units,mse,iqr
m1,16,0.0007521695312888005,2.7830150805149465e-05
m2,7,0.003274566914882382,6.687025745663513e-05
m3,3,0.13393146282338853,0.01590457840414755
m4,5,0.0008138891253993913,4.222838778427285e-05
m5,7,0.016343679212452503,0.0006180616381426737
m6,9,242.8707807034745,17.722513221853035
m7,12,208.14811897719446,22.906056958469946
m8,9,0.1821730451662201,0.010855255973117761
